データシート,画像,DK品番,メーカー品番,メーカー,サプライヤ,商品概要,在庫,価格,@ qty,最小発注数量, パッケージ,シリーズ,製品ステータス,"タイプ","出力数","電圧 - 入力（最小）","電圧 - 入力（最大）","電圧 - 出力1","電圧 - 出力2","電圧 - 出力3","電圧 - 出力4","電流 - 出力（最大）","電力（ワット）","電圧 - 絶縁","用途","特長","動作温度","効率","取り付けタイプ","パッケージ/ケース","サイズ/寸法","サプライヤデバイスパッケージ","制御機能","承認機関","規格番号","URL"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1515DLPZ-ND","AM1DS-1515DLPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","13.5V","16.5V","-15V","15V","-","-","34mA、34mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1515DLPZ/27524010"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1515DH30LPZ-ND","AM1DS-1515DH30LPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","13.5V","16.5V","-15V","15V","-","-","34mA、34mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1515DH30LPZ/27524121"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-2412DLPZ-ND","AM1DS-2412DLPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","21.6V","26.4V","-12V","12V","-","-","42mA、42mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-2412DLPZ/27524282"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/am1gu-lpz.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7228/MFG_6286_AM1GU-1205SH30LPZ.jpg","6286-AM1GU-1215DH30LPZ-ND","AM1GU-1215DH30LPZ","aimtec","DComponents","1W DCDC 4~36Vin 15Vout SIP8","345","5.82","0","1","チューブ","AM1G-EZ","アクティブ","絶縁モジュール","2","4.5V","36V","-15V","-","-","-","33mA、33mA","1 W","3 kV","ITE（商用）","-","-40°C～85°C","71%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1GU-1215DH30LPZ/27523909"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7228/MFG_6286_AM1GU-1205SH30LPZ.jpg","6286-AM1GU-1212DH30LPZ-ND","AM1GU-1212DH30LPZ","aimtec","DComponents","1W DCDC 4~36Vin 9Vout SIP8","345","5.82","0","1","チューブ","AM1G-EZ","アクティブ","絶縁モジュール","2","4.5V","36V","-12V","-","-","-","42mA、42mA","1 W","3 kV","ITE（商用）","-","-40°C～85°C","71%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1GU-1212DH30LPZ/27524378"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-4812DLPZ-ND","AM3G-4812DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","36V","75V","-12V","12V","-","-","125mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","82%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-4812DLPZ/27523611"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-1215DLPZ-ND","AM3G-1215DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","9V","18V","-15V","15V","-","-","100mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","80%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-1215DLPZ/27523693"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-0515DLPZ-ND","AM3G-0515DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","4.5V","9V","-15V","15V","-","-","83mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","77%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-0515DLPZ/27523844"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-4815DLPZ-ND","AM3G-4815DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","36V","75V","-15V","15V","-","-","100mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","82%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-4815DLPZ/27524004"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM3G-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM3G-2415DLPZ.jpg","6286-AM3G-2415DLPZ-ND","AM3G-2415DLPZ","aimtec","DComponents","3W DC/DC Converter","345","5.85","0","1","チューブ","AM3G-LPZ (3W)","アクティブ","絶縁モジュール","2","18V","36V","-15V","15V","-","-","100mA","3 W","1.5 kV","ITE（商用）","-","-40°C～85°C","73%","スルーホール","8-SIPモジュール","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","8-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM3G-2415DLPZ/27524095"
