# topo=star: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
2 | +220µ ESR 0.1 | 4 | 5.120 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.110 @0k | 2.453 | 2.434 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.3 | 1 | 1.793 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.161 @14k | 1.082 | 1.254 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.3 | 2 | 3.795 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.159 @14k | 1.859 | 1.841 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.3 | 3 | 4.632 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.157 @13k | 2.228 | 2.207 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.3 | 4 | 5.086 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.156 @13k | 2.436 | 2.413 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | C201 のみ | 1 | 1.672 @178k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.312 @14k | 0.977 | 1.152 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | C201 のみ | 2 | 3.733 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.305 @14k | 1.826 | 1.800 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | C201 のみ | 3 | 4.602 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.298 @13k | 2.212 | 2.189 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | C201 のみ | 4 | 5.068 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.292 @13k | 2.426 | 2.403 @211k | 20.85 @168k | 12.620 | 11.672 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 1 | 1.288 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.211 @7k | 0.856 | 0.849 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 2 | 1.330 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.210 @7k | 0.879 | 0.876 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 3 | 1.362 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.208 @7k | 0.897 | 0.896 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 4 | 1.385 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.207 @7k | 0.912 | 0.911 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 1 | 0.826 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.260 @7k | 0.612 | 0.562 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 2 | 0.836 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.258 @7k | 0.614 | 0.568 @211k | 2.78 @158k | 2.283 | 2.159 @211k
