# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
2 | +220µ ESR 0.1 | 2 | 2.051 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.844 @0k | 0.621 | 1.867 @266k | 15.39 @106k | 4.539 | 4.771 @266k
2 | +220µ ESR 0.1 | 3 | 1.819 @211k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.893 @0k | 1.162 | 1.819 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | +220µ ESR 0.1 | 4 | 1.613 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.943 @0k | 0.749 | 1.450 @316k | 11.53 @60k | 4.428 | 4.129 @211k
2 | +220µ ESR 0.3 | 1 | 1.801 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.792 @0k | 1.083 | 1.261 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | +220µ ESR 0.3 | 2 | 1.786 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.842 @0k | 0.586 | 1.758 @266k | 15.39 @106k | 4.539 | 4.771 @266k
2 | +220µ ESR 0.3 | 3 | 1.708 @211k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.891 @0k | 1.089 | 1.708 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | +220µ ESR 0.3 | 4 | 1.516 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.941 @0k | 0.681 | 1.436 @316k | 11.53 @60k | 4.428 | 4.129 @211k
2 | C201 のみ | 1 | 1.692 @178k | L300n R0.01 lo srcC e201=0.05 k=1 | 2.701 @5k | 1.357 | 1.160 @211k | 20.85 @168k | 12.620 | 11.672 @211k
2 | C201 のみ | 2 | 2.003 @282k | L300n R0.01 lo srcB e201=0.3 k=1 | 2.621 @4k | 0.561 | 2.003 @282k | 15.39 @106k | 4.539 | 4.771 @266k
2 | C201 のみ | 3 | 1.636 @211k | L300n R0.01 lo srcC e201=0.05 k=1 | 2.655 @4k | 1.042 | 1.636 @211k | 15.45 @75k | 3.778 | 6.719 @211k
2 | C201 のみ | 4 | 1.514 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 2.563 @4k | 0.649 | 1.460 @316k | 11.53 @60k | 4.428 | 4.129 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 1 | 1.288 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.271 @3k | 0.856 | 0.849 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 2 | 1.789 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.301 @3k | 0.529 | 0.488 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 3 | 1.923 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.325 @3k | 0.576 | 0.601 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +100µ ESR 0.02 / Rser 0.05 | 4 | 1.939 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.349 @3k | 0.396 | 0.408 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 1 | 0.826 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.320 @3k | 0.612 | 0.562 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 2 | 1.269 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.349 @3k | 0.431 | 0.392 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 3 | 1.486 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.372 @3k | 0.404 | 0.411 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 4 | 1.584 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.399 @3k | 0.346 | 0.316 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 1 | 0.633 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.369 @3k | 0.519 | 0.467 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 2 | 1.014 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.397 @3k | 0.379 | 0.355 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 3 | 1.241 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.419 @3k | 0.343 | 0.344 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 4 | 1.367 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.448 @3k | 0.332 | 0.316 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 1 | 0.535 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.418 @3k | 0.454 | 0.419 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 2 | 0.867 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.446 @3k | 0.347 | 0.329 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 3 | 1.089 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.467 @3k | 0.315 | 0.312 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 4 | 1.225 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.497 @3k | 0.320 | 0.308 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 1 | 0.441 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.545 @3k | 0.364 | 0.343 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 2 | 0.694 @100k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.571 @3k | 0.326 | 0.304 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 3 | 0.891 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.590 @3k | 0.295 | 0.278 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 4 | 1.031 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.624 @3k | 0.298 | 0.285 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 1 | 0.568 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.711 @3k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 2 | 0.632 @67k | L300n R0.05 lo srcA e201=0.05 k=2 | 1.735 @3k | 0.310 | 0.291 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 3 | 0.801 @71k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.752 @3k | 0.290 | 0.274 @211k | 1.53 @63k | 0.427 | 0.387 @211k
